Transaction ID,Items
T1,"Tomatoes, Yogurt, Butter, Garlic, Cereal"
T2,"Rice, Cereal, Beef, Pasta, Yogurt, Bananas"
T3,"Butter, Garlic, Yogurt, Potatoes"
T4,"Garlic, Tomatoes, Pasta, Carrots, Cereal"
T5,"Milk, Eggs, Bread, Broccoli, Cereal"
T6,"Milk, Eggs, Bread, Chicken, Butter"
T7,"Carrots, Pasta, Tomatoes, Bananas"
T8,"Milk, Eggs, Bread, Beef, Rice"
T9,"Potatoes, Garlic, Bananas, Beef, Butter, Pasta"
T10,"Milk, Eggs, Bread, Cheese, Yogurt"
T11,"Milk, Eggs, Bread, Garlic, Butter"
T12,"Carrots, Cheese, Broccoli, Apples, Cereal, Potatoes"
T13,"Milk, Eggs, Bread, Garlic, Butter"
T14,"Chicken, Rice, Garlic, Butter"
T15,"Milk, Eggs, Bread, Bananas, Potatoes, Yogurt"
T16,"Milk, Eggs, Bread, Apples, Carrots"
T17,"Beef, Apples, Butter, Cereal, Garlic, Cheese"
T18,"Milk, Eggs, Bread, Cereal, Rice, Tomatoes"
T19,"Garlic, Broccoli, Tomatoes, Apples"
T20,"Milk, Eggs, Bread, Pasta, Rice, Broccoli"
